Country,Bestseller Category,URL
Australia,automotive,https://www.amazon.com.au/Automotive/b/?ie=UTF8&node=4851453051&ref
Australia,beauty,https://www.amazon.com.au/gp/browse.html?node=4851567051&ref
Australia,books,https://www.amazon.com.au/books-store/b/?ie=UTF8&node=4851626051&ref
Australia,electronics,https://www.amazon.com.au/electronics-store/b/?ie=UTF8&node=4851799051&ref
Australia,fashion,https://www.amazon.com.au/Amazon-Fashion/b/?ie=UTF8&node=4851856051&ref
Australia,gc,https://www.amazon.com.au/gift-cards/b/?ie=UTF8&node=5264602051&ref
Australia,hi,https://www.amazon.com.au/tools-home-improvement-DIY/b/?ie=UTF8&node=4852033051&ref
Australia,home,https://www.amazon.com.au/home-decor-furniture-bedding/b/?ie=UTF8&node=4851975051&ref
Australia,hpc,https://www.amazon.com.au/gp/browse.html?node=4851917051&ref
Australia,kindle,https://www.amazon.com.au/Kindle-eBooks/b/?ie=UTF8&node=2496751051&ref
Australia,pc,https://www.amazon.com.au/computer-pc-hardware-accessories/b/?ie=UTF8&node=4851683051&ref
Australia,pets,https://www.amazon.com.au/gp/browse.html?node=5514967051&ref
Australia,sports,https://www.amazon.com.au/sports-fitness/b/?ie=UTF8&node=4852559051&ref
Australia,toys,https://www.amazon.com.au/toys-games/b/?ie=UTF8&node=4852617051&ref
Australia,video,https://www.amazon.com.au/computer-video-games-hardware-accessories/b/?ie=UTF8&node=4852675051&ref
Brazil (Brasil),automotive,https://www.amazon.com.br/gp/browse.html?node=18914209011&ref
Brazil (Brasil),baby,https://www.amazon.com.br/gp/browse.html?node=17242603011&ref
Brazil (Brasil),beauty,https://www.amazon.com.br/gp/browse.html?node=16194414011&ref
Brazil (Brasil),books,https://www.amazon.com.br/Livros/b/?ie=UTF8&node=6740748011&ref
Brazil (Brasil),electronics,https://www.amazon.com.br/Eletronicos-e-Tecnologia/b/?ie=UTF8&node=16209062011&ref
Brazil (Brasil),fashion,https://www.amazon.com.br/gp/browse.html?node=17365811011&ref
Brazil (Brasil),grocery,https://www.amazon.com.br/gp/browse.html?node=18991079011&ref
Brazil (Brasil),hi,https://www.amazon.com.br/Ferramentas-Construcao/b/?ie=UTF8&node=16957182011&ref
Brazil (Brasil),home,https://www.amazon.com.br/Casa/b/?ie=UTF8&node=16191000011&ref
Brazil (Brasil),hpc,https://www.amazon.com.br/gp/browse.html?node=16215417011&ref
Brazil (Brasil),kindle,https://www.amazon.com.br/ebooks-kindle/b/?ie=UTF8&node=5475882011&ref
Brazil (Brasil),pc,https://www.amazon.com.br/Computadores-Informatica/b/?ie=UTF8&node=16339926011&ref
Brazil (Brasil),pets,https://www.amazon.com.br/gp/browse.html?node=18991136011&ref
Brazil (Brasil),toys,https://www.amazon.com.br/gp/browse.html?node=16194299011&ref
Brazil (Brasil),video,https://www.amazon.com.br/Games-Consoles/b/?ie=UTF8&node=7791985011&ref
Canada,automotive,https://www.amazon.ca/automotive/b/?ie=UTF8&node=6948389011&ref
Canada,baby,https://www.amazon.ca/gp/browse.html?node=3561346011&ref
Canada,beauty,https://www.amazon.ca/Beauty/b/?ie=UTF8&node=6205124011&ref
Canada,books,https://www.amazon.ca/books-used-books-textbooks/b/?ie=UTF8&node=916520&ref
Canada,electronics,https://www.amazon.ca/Electronics-Accessories/b/?ie=UTF8&node=667823011&ref
Canada,fashion,https://www.amazon.ca/gp/browse.html?node=21204935011&ref
Canada,gc,https://www.amazon.ca/gp/browse.html?node=9230166011&ref
Canada,grocery,https://www.amazon.ca/grocery/b/?ie=UTF8&node=6967215011&ref
Canada,hi,https://www.amazon.ca/Home-Improvement/b/?ie=UTF8&node=3006902011&ref
Canada,home,https://www.amazon.ca/gp/browse.html?node=2206275011&ref
Canada,hpc,https://www.amazon.ca/Health-Personal-Care/b/?ie=UTF8&node=6205177011&ref
Canada,kindle,https://www.amazon.ca/gp/browse.html?node=2972705011&ref
Canada,pc,https://www.amazon.ca/Computers-Accessories/b/?ie=UTF8&node=2404990011&ref
Canada,pets,https://www.amazon.ca/pet-supplies-dog-cat-food-bed-toy/b/?ie=UTF8&node=6205514011&ref
Canada,sports,https://www.amazon.ca/sporting-goods/b/?ie=UTF8&node=2242989011&ref
Canada,toys,https://www.amazon.ca/Toys-Games/b/?ie=UTF8&node=6205517011&ref
Canada,video,https://www.amazon.ca/video-games-hardware-accessories/b/?ie=UTF8&node=3198031&ref
France,amazonbasics,https://www.amazon.fr/amazonbasics/?field-lbr
France,automotive,https://www.amazon.fr/Voiture-et-moto/b/?ie=UTF8&node=1571265031&ref
France,baby,https://www.amazon.fr/bebe-puericulture/b/?ie=UTF8&node=206617031&ref
France,beauty,https://www.amazon.fr/gp/browse.html?node=4238422031&ref
France,books,https://www.amazon.fr/livre-achat-occasion-litterature-roman/b/?ie=UTF8&node=301061&ref
France,electronics,https://www.amazon.fr/photo-TV-mp3-Hifi-GPS/b/?ie=UTF8&node=13921051&ref
France,fashion,https://www.amazon.fr/gp/browse.html?node=11961521031&ref
France,gc,https://www.amazon.fr/cheques-cartes-cadeaux/b/?ie=UTF8&node=2524127031&ref
France,home,https://www.amazon.fr/cuisine-maison-%C3%A9lectrom%C3%A9nager/b/?ie=UTF8&node=57004031&ref
France,hpc,https://www.amazon.fr/hygi%C3%A8ne-sant%C3%A9-soins-du-corps/b/?ie=UTF8&node=197861031&ref
France,kindle,https://www.amazon.fr/ebooks-kindle/b/?ie=UTF8&node=695398031&ref
France,pc,https://www.amazon.fr/informatique-ordinateurs-imprimantes-r%C3%A9seaux-composants/b/?ie=UTF8&node=340858031&ref
